station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
bkp96t,สำนักงานเขตลาดพร้าว,"Ladphrao District Office, Bangkok","เขตลาดพร้าว, กรุงเทพฯ",13.803587,100.607535,2026-09-05,02:00,15.1,26.0,44.0,26,False,False,2026-09-05T02:38:09
bkp97t,สำนักงานเขตหลักสี่,"Lak Si District Office, Bangkok","แขวงทุ่งสองห้อง เขตหลักสี่, กรุงเทพฯ",13.887395,100.579247,2026-09-05,02:00,16.9,30.0,,30,False,False,2026-09-05T02:38:09
bkp98t,สำนักงานเขตบางเขน,"Bang Khen District Office, Bangkok","ริมถนนพหลโยธิน เขตบางเขน, กรุงเทพฯ",13.873603,100.595839,2026-09-05,02:00,23.7,47.0,,47,False,False,2026-09-05T02:38:09
bkp99t,สำนักงานเขตสะพานสูง,"Saphan Sung District Office, Bangkok","เขตสะพานสูง, กรุงเทพฯ",13.768892,100.685743,2026-09-05,02:00,12.6,21.0,27.0,21,False,False,2026-09-05T02:38:09
o10,เคหะชุมชนคลองจั่น,National Housing Authority Klongchan,"แขวงคลองจั่น, เขตบางกะปิ,กรุงเทพฯ",13.779873,100.646009,2026-09-05,02:00,14.1,24.0,,24,False,False,2026-09-05T02:38:09
79t,สถานีอุตุนิยมวิทยา จ.กาญจนบุรี,Kanchanaburi Meteorological Station,"ต.บ้านเหนือ อ.เมือง, กาญจนบุรี",14.022376,99.536195,2026-09-05,01:00,21.0,40.0,,40,False,False,2026-09-05T02:38:09
107t,สวนสาธารณะแก่งดอนกลาง,KAENG DON KLANG PARK,"ต.กาฬสินธุ์ อ.เมือง, กาฬสินธ์ุ",16.4436,103.513,2026-09-05,02:00,11.7,20.0,,20,False,False,2026-09-05T02:38:09
94t,ลานอนุรักษ์วัฒนธรรมไทยสิริจิตอุทยาน,Sirichit Thai Cultural Conservation Ground,"ต.ในเมือง อ.เมือง, กำแพงเพชร",16.475374,99.525425,2026-09-05,02:00,13.3,22.0,23.0,22,False,False,2026-09-05T02:38:09
46t,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาคที่4 ขอนแก่น,Hydrogeological Group Water Resources Regional Office4 khonkaen,"ต.ในเมือง อ.เมือง, ขอนแก่น",16.44538333,102.83525,2026-09-05,02:00,21.8,42.0,,42,False,False,2026-09-05T02:38:09
100t,สถานีอุตุนิยมวิทยาจันทบุรี,Chanthaburi Meteorological Station,"ต.วัดใหม่ อ.เมือง, จันทบุรี",12.6095704,102.1040804,2026-09-05,02:00,12.3,21.0,32.0,21,False,False,2026-09-05T02:38:09
60t,สำนักงานเทศบาลตำบลทุ่งสะเดา,Municipality Office Tungsadao,"ต.วังเย็น อ.แปลงยาว, ฉะเชิงเทรา",13.5885,101.2863333,2026-09-05,02:00,18.8,35.0,,35,False,False,2026-09-05T02:38:09
33t,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน,Health Promotion Hospital Bankhaohin,"ต.บ่อวิน อ.ศรีราชา, ชลบุรี",13.054551,101.098128,2026-09-05,02:00,12.1,20.0,,20,False,False,2026-09-05T02:38:09
34t,สำนักงานสิ่งแวดล้อมภาคที่ 13 ,"Environment Agency Section 13, Chonburi","ต.บ้านสวน อ.เมือง, ชลบุรี",13.35461667,100.9792167,2026-09-04,11:00,,,,0,False,False,2026-09-05T02:38:09
o61,สนามกีฬาเทศบาลแหลมฉบัง ,Laem Chabang Municipal Stadium,"ต.ทุ่งสุขลา อ.ศรีราชา, ชลบุรี",13.11923333,100.91855,2026-09-05,02:00,12.5,21.0,,21,False,False,2026-09-05T02:38:09
117t,สวนสาธารณะเฉลิมพระเกียรติ ร. 9,Chalermprakiat Rama IX Park,"ต.บ้านกล้วย อ.เมือง, ชัยนาท",15.173475,100.132105,2026-09-05,02:00,16.5,29.0,,29,False,False,2026-09-05T02:38:09
108t,สนามกีฬาเทศบาลเมืองชัยภูมิ,Mueang Chaiyaphum Municipality Stadium," ต.ในเมือง อ.เมืองชัยภูมิ, ชัยภูมิ",15.81148,102.02281,2026-09-05,02:00,13.5,23.0,,23,False,False,2026-09-05T02:38:09
118t,สนามกีฬา จ.ชุมพร,"Sports Stadium, Chumphon Province","ต.ท่าตะเภา อ.เมือง, จ.ชุมพร",10.495142389105824,99.1893540951232,2026-09-05,02:00,5.8,10.0,,10,False,False,2026-09-05T02:38:09
