stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,forecast,AQILast.date,AQILast.time,AQILast.PM25.color_id,AQILast.PM25.aqi,AQILast.PM25.value,AQILast.PM10.color_id,AQILast.PM10.aqi,AQILast.PM10.value,AQILast.O3.color_id,AQILast.O3.aqi,AQILast.O3.value,AQILast.CO.color_id,AQILast.CO.aqi,AQILast.CO.value,AQILast.NO2.color_id,AQILast.NO2.aqi,AQILast.NO2.value,AQILast.SO2.color_id,AQILast.SO2.aqi,AQILast.SO2.value,AQILast.AQI.color_id,AQILast.AQI.aqi,AQILast.AQI.param
102t,สนามกีฬากลางจังหวัดมุกดาหาร,Mukdahan Provincial Stadium,"ต.มุกดาหาร อ.เมือง, มุกดาหาร","Mukdaman Subdistrict, Mueang District, Mukdahan",GROUND,16.54257,104.7192,[],2026-09-05,02:00,1,23,13.6,1,15,29,0,-1,-1,0,-1,-1,0,-1,-1,1,1,2,1,23,PM25
63t,สนามโรงพิธีช้างเผือก ,White Elephant Park,"ต.สะเตง อ.เมือง, ยะลา","Sateng, Mueang, Yala",GROUND,6.546205,101.283137,[],2026-09-04,22:00,1,12,7.2,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-999,-1,1,12,PM25
78t,ศูนย์พัฒนาเด็กเล็กเทศบาลเมืองเบตง,"child development centers, Betong","ต.เบตง อ.เบตง, ยะลา","Betong, Yala",GROUND,5.763873,101.067903,[],2026-09-05,01:00,1,11,6.4,0,-1,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,11,PM25
109t,สวนสาธารณะพญาแถน,Phaya Thaen Public Park,"ต.ในเมือง,อ.เมือง, ยโสธร","Mueang, Yasothon",GROUND,15.783861,104.154639,[],2026-09-05,02:00,1,24,14.4,0,-1,-1,1,14,19,1,1,0.20,1,0,1,1,1,3,1,24,PM25
28t,สำนักงานสาธารณสุขอำเภอปลวกแดง,Pluakdaeng District Health Office,"ต.ปลวกแดง อ.ปลวกแดง, ระยอง","Pluak Daeng, Pluak Daeng, Rayong",GROUND,12.97378333,101.21285,[],2026-09-05,02:00,2,35,19.0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,35,PM25
29t,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด ,Health Promotion Hospital Maptaput,"ต.มาบตาพุด อ.เมือง, ระยอง","Map Ta Phut, Meuang, Rayong",GROUND,12.70865,101.1659833,[],2026-09-05,02:00,2,40,21.0,2,31,57,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,40,PM25
30t,สนามกีฬากลางจังหวัดระยอง,Rayong Provincial Stadium,"สนามกีฬากลางจังหวัดระยอง ต.เนินพระ อ.เมือง, ระยอง"," Noen Phra, Muang Rayong, Rayong",GROUND,12.678917,101.234664,[],2026-09-05,02:00,1,19,11.6,1,21,42,1,9,13,1,1,0.10,1,1,2,1,0,0,1,21,PM10
31t,ศูนย์วิจัยพืชไร่ระยอง ,"Field Crop Research Center, Rayong","ต.ห้วยโป่ง อ.เมือง, ระยอง","Huai Pong, Meuang, Rayong",GROUND,12.73518333,101.13565,[],2026-09-05,02:00,3,80,32.5,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,3,80,PM25
74t,ศูนย์ราชการจังหวัดระยอง ,"Government Complex, Rayong","ศูนย์ราชการจังหวัดระยอง  ต.เนินพระ อ.เมือง, ระยอง","Nern Pra, Meuang, Rayong",GROUND,12.7066,101.18055,[],2026-09-05,02:00,2,29,16.3,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,29,PM25
o63,ค่ายสุรสิงหนาท,Khai Surasinghanat,"ต.ตะพง อ.เมือง, ระยอง","Taphong, Mueang, Rayong",MOBILE,12.648576,101.32245,[],2026-09-05,02:00,1,15,8.7,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,0,-999,-1,1,15,PM25
26t,สำนักงานสิ่งแวดล้อมภาคที่8,Environmental Office 8 ratchaburi,"ต.หน้าเมือง อ.เมือง, ราชบุรี","Na Mueang, Mueang, Ratchaburi",GROUND,13.52344,99.814082,[],2026-09-05,02:00,2,32,17.6,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,32,PM25
113t,บึงพลาญชัย,Bueng Planchai,"ต.ในเมือง อ.เมือง, ร้อยเอ็ด"," Nai Mueang Subdistrict, Mueang District, Roi Et",GROUND,16.057448,103.651056,[],2026-09-05,02:00,1,21,12.5,1,12,24,1,18,25,1,1,0.20,1,0,0,1,0,0,1,21,PM25
99t,สถานีอุตุนิยมวิทยาลพบุรี, Meteorological Station Lopburi,"ต.ทะเลชุบศร อ.เมือง, ลพบุรี"," Talay Chupson Subdistrict, Mueang District, Lopburi",GROUND,14.800032,100.628548,[],2026-09-05,02:00,2,28,16.0,1,17,33,1,11,15,1,2,0.30,1,3,6,1,1,4,2,28,PM25
37t,สถานีอุตุนิยมวิทยาลำปาง,"Meteorological stations, Lampang","ต.พระบาท อ.เมือง, ลำปาง","Phra Bat, Meuang, Lampang",GROUND,18.2783333,99.5064666,[],2026-09-04,17:00,1,19,11.1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,19,PM25
38t,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ,"Health Promotion Hospital Sob Pad, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง","Sop Pat, Mae Mo, Lampang",GROUND,18.2508166,99.76395,[],2026-09-04,17:00,1,18,10.7,0,-1,-1,1,15,21,1,1,0.20,1,0,0,1,0,1,1,18,PM25
39t,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี ,Health Promotion Hospital Banthasri,"ต.บ้านดง อ.แม่เมาะ, ลำปาง","Ban Dong, Mae Mo, Lampang",GROUND,18.4267833,99.7576333,[],2026-09-04,17:00,1,18,10.6,0,-1,-1,0,-1,-1,0,-999,-1,0,-1,-1,1,0,0,1,18,PM25
40t,การประปาส่วนภูมิภาคแม่เมาะ,Provincial Waterworks Authority Mae Moh,"ต.แม่เมาะ อ.แม่เมาะ, ลำปาง","Mae Mo, Mae Mo, Lampang",GROUND,18.2826333,99.6598166,[],2026-09-05,02:00,1,21,12.7,0,-1,-1,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,1,21,PM25
68t,อุตุนิยมวิทยาลำพูน,"Meteorological Staions, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน","ฺBan Klang, Mueang, Lamphun",GROUND,18.567194,99.038639,[],2026-09-05,02:00,1,22,13.3,1,12,23,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,22,PM25
112t,สถานีอุตุนิยมวิทยาศรีสะเกษ,Sisaket Meteorological Center,"ต.หนองครก อ.เมือง, ศรีสะเกษ","Nongkrog Subdistrict, Mueang District, Sisaket",GROUND,15.087087,104.326787,[],2026-09-05,02:00,1,17,9.9,0,-999,-1,1,18,25,1,0,0.00,1,0,0,1,1,2,1,18,O3
90t,สถานีอุตุนิยมวิทยาสกลนคร,"Meteorological stations, Sakon Nakhon","ต.ธาตุนาเวง อ.เมือง, สกลนคร","That Naweng, Mueang, Sakon Nakhon",GROUND,17.15662,104.133216,[],2026-09-05,02:00,1,17,10.2,1,9,18,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,17,PM25
